Date,Day,Person,Core,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm,
3/17/21,Wednesday,Hannah,4A,1,,14:09,1:00:00,60,15:09,3,826,8&9 purple in soda lime started showing up,purple in soda lime started showing up,
3/17/21,Wednesday,Hannah,5A,1,,14:11,1:00:00,60,15:11,4,643,7&8,,
3/17/21,Wednesday,Hannah,8B,1,,14:13,1:01:00,61,15:14,5,584,8&8,,
3/17/21,Wednesday,Hannah,9A,1,,14:15,1:01:00,61,15:16,6,785,10&9,,
3/17/21,Wednesday,Hannah,10A,1,,14:18,1:00:00,60,15:18,7,940,7&8,,
3/17/21,Wednesday,Hannah,11A,1,,14:20,1:00:00,60,15:20,8,635,8&7,,
3/17/21,Wednesday,Hannah,12A,1,,14:22,1:01:00,61,15:23,9,781,7&7,,
3/17/21,Wednesday,Hannah,13A,1,,14:24,1:01:00,61,15:25,10,727,"7&7 ~15mm light, fuzzy mold- doesnt look as dark as the 10C ones",,
3/17/21,Wednesday,Hannah,15A,1,,14:26,1:03:00,63,15:29,11,718,8&8,,
3/17/21,Wednesday,Hannah,16A,1,,14:29,1:02:00,62,15:31,12,664,9&8 ~1mm mold,,
3/17/21,Wednesday,Hannah,1B,2,,14:33,1:01:00,61,15:34,13,668,8&8 ~23mm mold,,
3/17/21,Wednesday,Hannah,2B,2,,14:36,1:00:00,60,15:36,14,706,7&7 ~30mm mold,,
3/17/21,Wednesday,Hannah,5B,2,,14:38,1:00:00,60,15:38,15,582,8&8,,
3/17/21,Wednesday,Hannah,8C,2,,14:40,1:00:00,60,15:40,16,604,7&7,,
3/17/21,Wednesday,Hannah,9B,2,,14:42,1:01:00,61,15:43,17,861,8&7,,
3/17/21,Wednesday,Hannah,10B,2,,14:45,1:00:00,60,15:45,18,762,8&7,,
3/17/21,Wednesday,Hannah,11B,2,,14:47,1:01:00,61,15:48,19,704,7&7,,
3/17/21,Wednesday,Hannah,12B,2,,14:49,1:02:00,62,15:51,20,763,8&8,,
3/17/21,Wednesday,Hannah,13B,2,,14:52,1:01:00,61,15:53:00,21,717,"8&8 ~5mm mold; when pumping air, sounded like a bit of air escaped- maybe lock wasn't tight enough?",,
3/17/21,Wednesday,Hannah,14B,2,,14:55,1:01:00,61,15:56,22,792,8&7,,
3/17/21,Wednesday,Hannah,15B,2,,14:57,1:01:00,61,15:58,23,797,7&8,,
3/17/21,Wednesday,Hannah,16B,2,,15:00,1:01:00,61,16:01,24,632,7&7 ~30 mm mold; soda lime ~1/3 purple,517,
,,,,,,,,,,,,,,
3/24/2021,Wednesday,Jillian,1A,1,216.69,12:30,1:05:00,65,13:35,1,599,"peat cores rewetted on 3/18, soda lime changed, EGM in 10C for 5 mins= 554 ppm, 8&8",510,
3/24/2021,Wednesday,Jillian,2A,1,269.56,12:32,1:10:00,70,13:42,3,638,7,,
3/24/2021,Wednesday,Jillian,4A,1,201.25,12:33,1:08:00,68,13:41,2,759,8,,
3/24/2021,Wednesday,Jillian,5A,1,253.51,12:35,1:11:00,71,13:46,4,701,8,,
3/24/2021,Wednesday,Jillian,8B,1,252.66,12:37,1:11:00,71,13:48,5,618,8,,
3/24/2021,Wednesday,Jillian,9A,1,244.05,12:38,1:13:00,73,13:51,6,979,"8, 28 mL",,
3/24/2021,Wednesday,Jillian,10A,1,249.8,12:41,1:12:00,72,13:53,7,873,8&7,,
3/24/2021,Wednesday,Jillian,11A,1,243.17,12:43,1:12:00,72,13:55,8,706,10&9,,
3/24/2021,Wednesday,Jillian,12A,1,292.55,12:44,1:13:00,73,13:57,9,940,"10, 28 mL",,
3/24/2021,Wednesday,Jillian,13A,1,397.72,12:46,1:14:00,74,14:00,10,716,9&8,,
3/24/2021,Wednesday,Jillian,15A,1,231.87,12:48,1:15:00,75,14:03,11,711,9&7,,
3/24/2021,Wednesday,Jillian,16A,1,218.51,12:49,1:16:00,76,14:05,12,689,9&8,,
3/24/2021,Wednesday,Jillian,1B,2,287.93,13:00,1:08:00,68,14:08,13,716,8&9,,
3/24/2021,Wednesday,Jillian,2B,2,254.76,13:01,1:09:00,69,14:10,14,789,9&8,,
3/24/2021,Wednesday,Jillian,5B,2,272.76,13:03,1:10:00,70,14:13,15,724,9&7,,
3/24/2021,Wednesday,Jillian,8C,2,316.16,13:04,1:12:00,72,14:16,16,687,8&7,,
3/24/2021,Wednesday,Jillian,9B,2,254.74,13:06,1:12:00,72,14:18,17,1163,9&8,,
3/24/2021,Wednesday,Jillian,10B,2,246.25,13:06,1:14:00,74,14:20,18,867,8&7,,
3/24/2021,Wednesday,Jillian,11B,2,210.28,13:08,1:15:00,75,14:23,19,827,8&8,,
3/24/2021,Wednesday,Jillian,12B,2,291.08,13:10,1:15:00,75,14:25,20,1225,7&8,,
3/24/2021,Wednesday,Jillian,13B,2,389.6,13:11,1:16:00,76,14:27,21,959,9&7,,
3/24/2021,Wednesday,Jillian,14B,2,247.53,13:13,1:17:00,77,14:30,22,1047,8&7,,
3/24/2021,Wednesday,Jillian,15B,2,229.61,13:14,1:19:00,79,14:33,23,731,8&7,,
3/24/2021,Wednesday,Jillian,16B,2,221.98,13:15,1:20:00,80,14:35,24,726,9&8,490,
